,blockNumber,txHash,txTimestamp,gasPriceGwei,fee,submitter,payeeAddress,oracleName,amount,txDate
3,16321125,0xf69d45b616149a7e71bb5fa36b21237d9a5bdf185185688367e0be0f78159535,1672687067,50.0,0.88806805,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,38.377301723502455,2023-01-02 19:17:47+00:00
34,16377546,0x6bd2c92adeb25f7841cf9edb668c8eb40b1ddc80ad4b5ca052411b59ca00876e,1673367419,30.0,0.53267283,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,46.975254662810826,2023-01-10 16:16:59+00:00
65,16427545,0x92789c54b9c3591b35819c29a2509ff16789e3d54e21d0c73d393310b5d7f1a6,1673970827,52.0,0.932285172,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,80.58433683153471,2023-01-17 15:53:47+00:00
96,16471502,0x548404011f1137ff27122d283f2f4c94cdb7dc129fe59882e1d4cb893a87d168,1674500963,35.927507094,0.6374483214811888,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,65.91825841653593,2023-01-23 19:09:23+00:00
127,16499282,0x1a507e9193503f0a97a6c0e43d8c1ff59bc62b6f951af3cddaa5842d18f2dc59,1674836159,78.39112268,1.3762052314901976,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,10.974665625,2023-01-27 16:15:59+00:00
159,16578530,0xa48053e41812df563b7060505cfd8407785887fa2b36baa855a28bbc9c4bc1ca,1675792535,53.307976867,0.9561014342317209,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,92.62057676979353,2023-02-07 17:55:35+00:00
190,16622054,0x8842913308a8ea2c66f032d2a62d36666b0dfc9a998a916bec07d625b74a75b8,1676318099,28.738889597,0.5088493135211125,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,43.62789182640236,2023-02-13 19:54:59+00:00
221,16677774,0xe2b1647313a776c6ba7f406b2bcc2a10c84201a08ad512580aa1ba62b77cf72b,1676993339,46.130304689,0.822722405421838,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,54.32429509542528,2023-02-21 15:28:59+00:00
252,16726929,0x6f239f907fcc5ddd6e0df89a03a56ef25ca812dd944c13c0cfc3b95d86223bbd,1677590603,32.644975516,0.5774879519842887,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,40.22491509583027,2023-02-28 13:23:23+00:00
283,16770720,0xf98e3c407ac092497184d27c46dd64b30a91d0ee10631c49d3bb774fa321ec59,1678122767,72.683898194,1.2745422459656424,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,43.54953996398019,2023-03-06 17:12:47+00:00
314,16821395,0x0a7be008123a5b90b2f9e07f4d432efbeb8c9a13b9e06b8baa87f022448b61ea,1678738727,30.700095904,0.5490822979776614,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,60.79751835630458,2023-03-13 20:18:47+00:00
345,16870466,0x85a21a8a241aeff3335a106be4c95cf717eb38371ee72ea559fa26b8ae95af31,1679334455,29.902044057,0.5316921027412004,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,26.625187211259004,2023-03-20 17:47:35+00:00
378,16925451,0xbf040e67f22aa9e51d85f312cee83954f690b62485002783f55580358b1ecb4e,1680001883,27.166940065,0.4817092122486042,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,41.943880773680085,2023-03-28 11:11:23+00:00
435,16935323,0x18ea6b888fbb27225906b0d40abc78ff57837a4c502bfe9c56a85609d7b4a741,1680121871,39.097973174,0.10079785907231861,0x326377a6b92ec69acbbfe2de1eb1d7c9008e4c89,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,7.37626337118374,2023-03-29 20:31:11+00:00
440,16970176,0x46a3bc22e3287155b6e8db0a83fdeb0c059d087459ab307a7436128cba698932,1680545375,96.906345095,1.7081042837081475,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,47.95420347229204,2023-04-03 18:09:35+00:00
471,17017970,0x091a2e491f1628e82f0a02b9f318c6007927f915319c022aa3aa1f306beccca1,1681131839,29.521850058,0.518956956010417,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,42.3052593208423,2023-04-10 13:03:59+00:00
502,17066421,0x49e939c2a91d7a7c9f73819ec0eea411d3c6b796a0e97cd7fd22aa0e6e2dbfe9,1681733603,37.319236889,0.6501473824601224,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,33.52378958626126,2023-04-17 12:13:23+00:00
533,17117406,0xc0528b2f9fbf6c5233fd788a0ea8909ecbbbaad05661d069e2ee73c070704461,1682354579,58.764868852,1.0357305196921558,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,40.27713315081325,2023-04-24 16:42:59+00:00
565,17168144,0xde4c46263938ed176e0754b8aef22d4ac9dc049297911ae8f6e5b48c794986f6,1682970443,90.5083987,1.5797551319086907,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,50.10321864010535,2023-05-01 19:47:23+00:00
596,17217650,0x4a85d9968ef850998aa36e181bc90e15c8a9aab24896f99df43535a3f1448b50,1683571715,156.786451209,2.722100966485562,0x723b030ea11dc3bf01f4cc3ee10a8a1c54d35776,0x3615fa045f00ae0ed60dc0141911757c2adc5e03,blockdaemon,61.031156694843496,2023-05-08 18:48:35+00:00
